Index,Source_Plate,Source_Well,Destination_Plate,Destination_Well,Volume,Pre_Aspirate_Mix_Volume,Post_Dispense_Mix_Volume
01,DNA_frags,A01,Rxn_plate,A01,5,0,0
02,DNA_frags,B01,Rxn_plate,A01,5,0,0
03,DNA_frags,C01,Rxn_plate,A01,5,0,0
04,DNA_frags,D01,Rxn_plate,A01,5,0,0
05,DNA_frags,E01,Rxn_plate,A01,5,0,0
06,DNA_frags,F01,Rxn_plate,A01,5,0,0
07,DNA_frags,G01,Rxn_plate,A01,5,0,0
08,DNA_frags,H01,Rxn_plate,A01,5,0,0
09,DNA_frags,A02,Rxn_plate,B01,5,0,0
10,DNA_frags,B02,Rxn_plate,B01,5,0,0
11,DNA_frags,C02,Rxn_plate,B01,5,0,0
12,DNA_frags,D02,Rxn_plate,B01,5,0,0
13,DNA_frags,E02,Rxn_plate,B01,5,0,0
14,DNA_frags,F02,Rxn_plate,B01,5,0,0
15,DNA_frags,G02,Rxn_plate,B01,5,0,0
16,DNA_frags,H02,Rxn_plate,B01,5,0,0
17,DNA_frags,A03,Rxn_plate,C01,5,0,0
18,DNA_frags,B03,Rxn_plate,C01,5,0,0
19,DNA_frags,C03,Rxn_plate,C01,5,0,0
20,DNA_frags,D03,Rxn_plate,C01,5,0,0
21,DNA_frags,E03,Rxn_plate,C01,5,0,0
22,DNA_frags,F03,Rxn_plate,C01,5,0,0
23,DNA_frags,G03,Rxn_plate,C01,5,0,0
24,DNA_frags,H03,Rxn_plate,C01,5,0,0
25,Reagents,H01,Rxn_plate,A02,10,0,0
26,Rxn_plate,A01,Rxn_plate,A02,10,5,10
27,Reagents,H01,Rxn_plate,B02,10,0,0
28,Rxn_plate,B01,Rxn_plate,B02,10,5,10
29,Reagents,H01,Rxn_plate,C02,10,0,0
30,Rxn_plate,C01,Rxn_plate,C02,10,5,10
