Read 1:494,512
	1	2	3	4	5	6	7	8	9	10	11	12
A	100	100	100	100	100	100	100	100	100				Read 1:494,512
B													Read 1:494,512
C	100	100	100	100	100	100	100	100	100				Read 1:494,512
D													Read 1:494,512
E	100	100	100	100	100	100	100	100	100				Read 1:494,512
F													Read 1:494,512
G													Read 1:494,512
H													Read 1:494,512

Mean RFU [Read 2:272,445]
	1	2	3	4	5	6	7	8	9	10	11	12
A	91	192	101	118	96	98	102	99	99				Mean RFU [Read 2:272,445]
B													Mean RFU [Read 2:272,445]
C	220	95	98	96	99	177	105	98	107				Mean RFU [Read 2:272,445]
D													Mean RFU [Read 2:272,445]
E	99	108	96	101	91	102	108	114	125				Mean RFU [Read 2:272,445]
F													Mean RFU [Read 2:272,445]
G													Mean RFU [Read 2:272,445]
H													Mean RFU [Read 2:272,445]

