Index,Source_Plate,Source_Well,Destination_Plate,Destination_Well,Volume,Pre_Aspirate_Mix_Volume,Post_Dispense_Mix_Volume
01,Rxn_plate,A06,Assay_plate,A01,10,0,0
02,Rxn_plate,A06,Assay_plate,A04,10,0,0
03,Rxn_plate,A06,Assay_plate,A07,10,0,0
04,Rxn_plate,A06,Assay_plate,C01,10,0,0
05,Rxn_plate,A06,Assay_plate,C04,10,0,0
06,Rxn_plate,A06,Assay_plate,C07,10,0,0
07,Rxn_plate,A06,Assay_plate,E01,10,0,0
08,Rxn_plate,A06,Assay_plate,E04,10,0,0
09,Rxn_plate,A06,Assay_plate,E07,10,0,0
10,Rxn_plate,C06,Assay_plate,A02,10,0,0
11,Rxn_plate,C06,Assay_plate,A05,10,0,0
12,Rxn_plate,C06,Assay_plate,A08,10,0,0
13,Rxn_plate,C06,Assay_plate,C02,10,0,0
14,Rxn_plate,C06,Assay_plate,C05,10,0,0
15,Rxn_plate,C06,Assay_plate,C08,10,0,0
16,Rxn_plate,C06,Assay_plate,E02,10,0,0
17,Rxn_plate,C06,Assay_plate,E05,10,0,0
18,Rxn_plate,C06,Assay_plate,E08,10,0,0
19,Rxn_plate,E06,Assay_plate,A03,10,0,0
10,Rxn_plate,E06,Assay_plate,A06,10,0,0
21,Rxn_plate,E06,Assay_plate,A09,10,0,0
22,Rxn_plate,E06,Assay_plate,C03,10,0,0
23,Rxn_plate,E06,Assay_plate,C06,10,0,0
24,Rxn_plate,E06,Assay_plate,C09,10,0,0
25,Rxn_plate,E06,Assay_plate,E03,10,0,0
26,Rxn_plate,E06,Assay_plate,E06,10,0,0
27,Rxn_plate,E06,Assay_plate,E09,10,0,0
28,Rxn_plate,A12,Assay_plate,A10,10,0,0
29,Rxn_plate,A12,Assay_plate,C10,10,0,0
30,Rxn_plate,A12,Assay_plate,E10,10,0,0

