Index,Source_Plate,Source_Well,Destination_Plate,Destination_Well,Volume,Pre_Aspirate_Mix_Volume,Post_Dispense_Mix_Volume
01,Reagents,A05,Assay_plate,A10,90,0,60
02,Reagents,C05,Assay_plate,C10,90,0,60
03,Reagents,E05,Assay_plate,E10,90,0,60
04,Reagents,E05,Assay_plate,A09,90,0,60
05,Reagents,E05,Assay_plate,C09,90,0,60
06,Reagents,E05,Assay_plate,E09,90,0,60
07,Reagents,E05,Assay_plate,A08,90,0,60
08,Reagents,E05,Assay_plate,C08,90,0,60
09,Reagents,E05,Assay_plate,E08,90,0,60
10,Reagents,E05,Assay_plate,A07,90,0,60
11,Reagents,E05,Assay_plate,C07,90,0,60
12,Reagents,E05,Assay_plate,E07,90,0,60
13,Reagents,C05,Assay_plate,A06,90,0,60
14,Reagents,C05,Assay_plate,C06,90,0,60
15,Reagents,C05,Assay_plate,E06,90,0,60
16,Reagents,C05,Assay_plate,A05,90,0,60
17,Reagents,C05,Assay_plate,C05,90,0,60
18,Reagents,C05,Assay_plate,E05,90,0,60
19,Reagents,C05,Assay_plate,A04,90,0,60
20,Reagents,C05,Assay_plate,C04,90,0,60
21,Reagents,C05,Assay_plate,E04,90,0,60
22,Reagents,A05,Assay_plate,A03,90,0,60
23,Reagents,A05,Assay_plate,C03,90,0,60
24,Reagents,A05,Assay_plate,E03,90,0,60
25,Reagents,A05,Assay_plate,A02,90,0,60
26,Reagents,A05,Assay_plate,C02,90,0,60
27,Reagents,A05,Assay_plate,E02,90,0,60
28,Reagents,A05,Assay_plate,A01,90,0,60
29,Reagents,A05,Assay_plate,C01,90,0,60
30,Reagents,A05,Assay_plate,E01,90,0,60
