Index,Source_Plate,Source_Well,Destination_Plate,Destination_Well,Volume,Pre_Aspirate_Mix_Volume,Post_Dispense_Mix_Volume
01,Rxn_plate,A05,Rxn_plate,A06,20,0,0
02,Rxn_plate,C05,Rxn_plate,C06,20,0,0
03,Rxn_plate,E05,Rxn_plate,E06,20,0,0
04,Reagents,E08,Rxn_plate,A12,10,0,0
05,Reagents,E06,Rxn_plate,A06,26.66,0,0
06,Reagents,E06,Rxn_plate,C06,26.66,0,0
07,Reagents,E06,Rxn_plate,E06,26.66,0,0
08,Reagents,E06,Rxn_plate,A12,12.33,0,0
09,Reagents,E07,Rxn_plate,A06,53.34,0,80
10,Reagents,E07,Rxn_plate,C06,53.34,0,80
11,Reagents,E07,Rxn_plate,E06,53.34,0,80
12,Reagents,E07,Rxn_plate,A12,26.67,0,80


